census_tract,population
17-031-490800,4007
17-031-490700,3085
17-031-490600,1562
17-031-490500,2242
17-031-490400,1059
17-031-490300,2033
17-031-480500,3206
17-031-480400,5876
17-031-480300,1468
17-031-480200,1229
17-031-480100,2033
17-031-470100,2916
17-031-461000,1496
17-031-460700,3314
17-031-460600,1183
17-031-460500,5789
17-031-460400,3705
17-031-460302,3803
17-031-460301,3404
17-031-460200,2385
17-031-460100,3405
17-031-450300,3615
17-031-440900,2610
17-031-440800,1800
17-031-440700,1545
17-031-440600,2080
17-031-440300,4757
17-031-440202,2999
17-031-440201,5060
17-031-440102,3127
17-031-440101,3746
17-031-431400,6418
17-031-431302,4166
17-031-431301,3545
17-031-431200,3078
17-031-430900,1814
17-031-430800,1763
17-031-430700,2210
17-031-430600,1665
17-031-430500,3604
17-031-430400,2892
17-031-430300,2336
17-031-430200,4680
17-031-430102,2963
17-031-430101,3689
17-031-421200,1380
17-031-420800,2213
17-031-420700,3261
17-031-420600,2219
17-031-420500,2624
17-031-420400,1329
17-031-420300,2488
17-031-420200,1723
17-031-420100,1441
17-031-411200,1640
17-031-411100,2132
17-031-411000,3309
17-031-410900,2838
17-031-410800,2662
17-031-410700,2154
17-031-410600,2327
17-031-410500,2557
17-031-410200,1443
17-031-410100,1802
17-031-400800,2701
17-031-400500,2258
17-031-400400,1955
17-031-400300,1567
17-031-390700,5592
17-031-390600,1866
17-031-390500,1598
17-031-390400,2934
17-031-390300,2743
17-031-390200,1840
17-031-390100,1268
17-031-381900,1295
17-031-381800,1188
17-031-381700,0
17-031-381500,237
17-031-381400,1612
17-031-381200,2167
17-031-380700,1243
17-031-380500,752
17-031-380200,1680
17-031-380100,1924
17-031-360200,1443
17-031-351500,255
17-031-351400,1437
17-031-351100,1960
17-031-351000,3267
17-031-350400,389
17-031-350100,2144
17-031-340600,907
17-031-340500,1544
17-031-340400,1900
17-031-340300,1786
17-031-330200,3806
17-031-330100,16735
17-031-320600,4256
17-031-320400,2518
17-031-320100,10848
17-031-310900,5123
17-031-310800,4516
17-031-310700,1692
17-031-310600,5868
17-031-310500,1700
17-031-310400,1332
17-031-310300,1697
17-031-310200,1336
17-031-301803,5357
17-031-301802,3518
17-031-301801,4005
17-031-301702,4045
17-031-301701,4381
17-031-301600,4654
17-031-301200,4012
17-031-301100,2617
17-031-300900,5050
17-031-300800,4610
17-031-300700,5194
17-031-300600,3212
17-031-300500,3257
17-031-292500,4140
17-031-292400,2268
17-031-292200,2961
17-031-291600,1055
17-031-291200,2240
17-031-290900,4530
17-031-283800,3688
17-031-283200,1664
17-031-283100,2703
17-031-282800,1691
17-031-282700,2349
17-031-281900,4844
17-031-280900,942
17-031-280800,755
17-031-280400,1366
17-031-280100,4872
17-031-271800,970
17-031-271500,1397
17-031-271400,1527
17-031-271300,1045
17-031-271200,1170
17-031-270500,1689
17-031-261000,2319
17-031-260900,1480
17-031-260800,2539
17-031-260700,2032
17-031-260600,2478
17-031-260500,1934
17-031-260400,1271
17-031-260300,1564
17-031-260200,1136
17-031-260100,1248
17-031-252202,4609
17-031-252201,2953
